Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
7/24/2024 20:10:00,Royal Pain in the Ice (Su24),0,Midnight Snack (Su24),4,,,
7/24/2024 20:30:00,C*Mquats (Su24),2,GAYtors (Su24),3,,,8
7/24/2024 20:30:00,Red For Filth (Su24),2,Ice To Go (Su24),2,,,8
7/24/2024 20:50:00,Big Eggplant Energy (Su24),4,S*xual Tealing (Su24),0,,,8
7/24/2024 20:50:00,the dodgefathers (Su24),5,Idina Mintzels (Su24),0,,,8
7/24/2024 21:10:00,Citrus on My Face (Su24),1,Royal Pain in the Ice (Su24),2,,,8
7/24/2024 21:10:00,Midnight Snack (Su24),2,C*Mquats (Su24),2,,,8
7/31/2024 19:30:00,Idina Mintzels (Su24),1,Citrus on My Face (Su24),3,,,8
7/31/2024 19:30:00,Royal Pain in the Ice (Su24),3,Ice To Go (Su24),2,,,8
7/31/2024 19:50:00,bratz (Su24),2,GAYtors (Su24),2,,,8
7/31/2024 19:50:00,S*xual Tealing (Su24),0,Red For Filth (Su24),4,,,8
7/31/2024 20:10:00,Ice To Go (Su24),2,C*Mquats (Su24),3,,,8
7/31/2024 20:10:00,Idina Mintzels (Su24),4,Big Eggplant Energy (Su24),1,,,8
7/31/2024 20:30:00,Citrus on My Face (Su24),0,the dodgefathers (Su24),4,,,8
7/31/2024 20:30:00,Midnight Snack (Su24),4,bratz (Su24),1,,,8
7/31/2024 20:50:00,C*Mquats (Su24),2,S*xual Tealing (Su24),3,,,8
7/31/2024 20:50:00,GAYtors (Su24),1,Royal Pain in the Ice (Su24),3,,,8
7/31/2024 21:10:00,Big Eggplant Energy (Su24),2,Red For Filth (Su24),3,,,8
7/31/2024 21:10:00,the dodgefathers (Su24),2,Midnight Snack (Su24),2,,,8
8/7/2024 19:30:00,Citrus on My Face (Su24),1,Big Eggplant Energy (Su24),6,,,8
8/7/2024 19:30:00,Red For Filth (Su24),2,C*Mquats (Su24),2,,,8
8/7/2024 19:50:00,bratz (Su24),2,S*xual Tealing (Su24),2,,,8
8/7/2024 19:50:00,Midnight Snack (Su24),2,Idina Mintzels (Su24),3,,,8
8/7/2024 20:10:00,Royal Pain in the Ice (Su24),0,Red For Filth (Su24),2,,,8
